date;cases;isolation_level
20210525;17446;0.41091323109352534
20210526;16528;0.4086508705827338
20210527;11977;0.40884043051079155
20210528;2305;0.401804272410072
20210529;13609;0.42754548500000006
20210530;10961;0.47879507299999985
20210531;6086;0.40901048894244596
20210601;19563;0.4227333099568344
20210602;22962;0.41517255461870495
20210603;19820;0.4792553336043165
20210604;4096;0.40701212155395694
20210605;16889;0.4234525069784172
20210606;9995;0.46807630002158246
20210607;5085;0.3998384869928057
20210608;8067;0.40324008336690637
20210609;4251;0.4017536512805755
20210610;23021;0.39872042881294956
20210611;22865;0.3930905110431654
20210612;21191;0.41982634266906466
20210613;9290;0.46803076209352507
20210614;5324;0.39916492632374095
20210615;23216;0.40267181391366924
20210616;22579;0.40041080902877707
20210617;15055;0.4020311422086331
20210618;27676;0.39666022052517985
20210619;20445;0.4242025244316549
20210620;9579;0.4715722791223021
20210621;4911;0.4070960809640287
20210622;23090;0.4077388786330935
20210623;19490;0.40539974480575536
